ma_to_hop,ten_to_hop,cac_mon,nguon
X42,"Toán, Tin học, Tiếng Đức","TOAN,TIN,DUC",BoGD2025
X43,"Toán, Công nghệ công nghiệp, Tiếng Đức","TOAN,CN_CN,DUC",BoGD2025
X44,"Toán, Công nghệ nông nghiệp, Tiếng Đức","TOAN,CN_NN,DUC",BoGD2025
X45,"Toán, Giáo dục Kinh tế và pháp luật, Tiếng Nhật","TOAN,GDKTPL,NHAT",BoGD2025
X46,"Toán, Tin học, Tiếng Nhật","TOAN,TIN,NHAT",BoGD2025
X47,"Toán, Công nghệ công nghiệp, Tiếng Nhật","TOAN,CN_CN,NHAT",BoGD2025
X48,"Toán, Công nghệ nông nghiệp, Tiếng Nhật","TOAN,CN_NN,NHAT",BoGD2025
X49,"Toán, Giáo dục Kinh tế và pháp luật, Tiếng Hàn","TOAN,GDKTPL,HAN",BoGD2025
X50,"Toán, Tin học, Tiếng Hàn","TOAN,TIN,HAN",BoGD2025
X51,"Toán, Công nghệ công nghiệp, Tiếng Hàn","TOAN,CN_CN,HAN",BoGD2025
X52,"Toán, Công nghệ nông nghiệp, Tiếng Hàn","TOAN,CN_NN,HAN",BoGD2025
X53,"Toán, Giáo dục Kinh tế và pháp luật, Tin học","TOAN,GDKTPL,TIN",BoGD2025
X54,"Toán, Giáo dục Kinh tế và pháp luật, Công nghệ công nghiệp","TOAN,GDKTPL,CN_CN",BoGD2025
X55,"Toán, Giáo dục Kinh tế và pháp luật, Công nghệ nông nghiệp","TOAN,GDKTPL,CN_NN",BoGD2025
X56,"Toán, Tin học, Công nghệ công nghiệp","TOAN,TIN,CN_CN",BoGD2025
X57,"Toán, Tin học, Công nghệ nông nghiệp","TOAN,TIN,CN_NN",BoGD2025
X58,"Ngữ văn, Vật lý, Giáo dục Kinh tế và pháp luật","VAN,LI,GDKTPL",BoGD2025
X59,"Ngữ văn, Vật lý, Tin học","VAN,LI,TIN",BoGD2025
X60,"Ngữ văn, Vật lý, Công nghệ công nghiệp","VAN,LI,CN_CN",BoGD2025
X61,"Ngữ văn, Vật lý, Công nghệ nông nghiệp","VAN,LI,CN_NN",BoGD2025
X62,"Ngữ văn, Hóa học, Giáo dục Kinh tế và pháp luật","VAN,HOA,GDKTPL",BoGD2025
X63,"Ngữ văn, Hóa học, Tin học","VAN,HOA,TIN",BoGD2025
X64,"Ngữ văn, Hóa học, Công nghệ công nghiệp","VAN,HOA,CN_CN",BoGD2025
X65,"Ngữ văn, Hóa học, Công nghệ nông nghiệp","VAN,HOA,CN_NN",BoGD2025
X66,"Ngữ văn, Sinh học, Giáo dục Kinh tế và pháp luật","VAN,SINH,GDKTPL",BoGD2025
X67,"Ngữ văn, Sinh học, Tin học","VAN,SINH,TIN",BoGD2025
X68,"Ngữ văn, Sinh học, Công nghệ công nghiệp","VAN,SINH,CN_CN",BoGD2025
X69,"Ngữ văn, Sinh học, Công nghệ nông nghiệp","VAN,SINH,CN_NN",BoGD2025
X70,"Ngữ văn, Lịch sử, Giáo dục Kinh tế và pháp luật","VAN,SU,GDKTPL",BoGD2025
